Region,House,Sigil,Blazon,Seat,Words,Origin,Notes,Ancestral weapon
North,House Stout of Goldgrass,https://awoiaf.westeros.org/index.php/File:House_Stout.svg,Chevrony russet and gold,Goldgrass,,,,
Unknown,House Strickland,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Strong of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Strong.svg,"A tripartite pale blue, red, and green on white",Harrenhal,,,extinct 131 AC,
Unknown,House Suggs,https://awoiaf.westeros.org/index.php/File:House_Suggs.svg,"A flying pig, colors unknown",,,,,
Vale of Arryn (Sistermen),House Sunderland of the Three Sisters,https://awoiaf.westeros.org/index.php/File:House_Sunderland.svg,"Three women's heads, white with black hair, on blue and green undy",Three Sisters,,King of the Three Sisters,,
Iron Islands,House Sunderly of Saltcliffe,https://awoiaf.westeros.org/index.php/File:House_Sunderly.svg,"A drowned man, pink and pale, floating upright in a blue-green sea, his hair streaming upwards, as fish nibble at his limbs",Saltcliffe,,Grey King,,
Crownlands (Dragonstone),House Sunglass of Sweetport Sound,https://awoiaf.westeros.org/index.php/File:House_Sunglass.svg,Seven golden seven-pointed stars in a ring on white,Sweetport Sound,,,,
Stormlands (Marcher Lords),House Swann of Stonehelm,https://awoiaf.westeros.org/index.php/File:House_Swann.svg,"Battling swans black and white, beaks and feet golden, on per pale white and black",Stonehelm,,,,
Westerlands,House Swyft of Cornfield,https://awoiaf.westeros.org/index.php/File:House_Swyft.svg,A blue bantam rooster on yellow,Cornfield,Awake! Awake!,,,
Stormlands,House Swygert,https://awoiaf.westeros.org/index.php/File:House_Swygert.svg,"A white scroll with gold knobs on purple, a white tressure",,Truth Conquers,,,
North,House Tallhart of Torrhen's Square,https://awoiaf.westeros.org/index.php/File:House_Tallhart.svg,"Three sentinel trees, green on brown",Torrhen's Square,Proud and Free,,,
Westerlands,House Tarbeck of Tarbeck Hall,https://awoiaf.westeros.org/index.php/File:House_Tarbeck.svg,"A 7-pointed star, countercharged, on gyronny silver and blue",Tarbeck Hall,,,extinct 261 AC,
Crownlands,House Targaryen of King's Landing,https://awoiaf.westeros.org/index.php/File:House_Targaryen.svg,"A red three-headed dragon, breathing flame on black",Dragonstone,Fire and Blood,Valyrian dragonlords & Aenar Targaryen,,Blackfyre (lost) & Dark Sister (lost)
Reach,House Tarly of Horn Hill,https://awoiaf.westeros.org/index.php/File:House_Tarly.svg,A striding red huntsman on green,Horn Hill,First in Battle,"<a href=""/index.php/Harlon_the_Hunter"" title=""Harlon the Hunter""Harlon the Hunter and Herndon of the Horn",,Heartsbane (extant)
Stormlands,House Tarth of Evenfall Hall,https://awoiaf.westeros.org/index.php/File:House_Tarth.svg,Quartered: yellow suns and white crescents on rose and azure,Evenfall Hall,,,,"Oathkeeper (new, extant)"
Iron Islands,House Tawney of Orkmont,https://awoiaf.westeros.org/index.php/File:Tawney.png,"A scourge of nettles, red and black, on white",Orkmont,,Grey King,,
Riverlands,House Teague,https://awoiaf.westeros.org/index.php/File:House_Teague.svg,A golden trident upright on black between two golden flanches,,,Torrence Teague,extinct circa 350 BC,
Vale of Arryn,House Templeton of Ninestars,https://awoiaf.westeros.org/index.php/File:House_Templeton.svg,"Nine stars, one of 7 points and the rest of 6 points, upon a gold saltire on black",Ninestars,,,,
Riverlands,House Terrick,https://awoiaf.westeros.org/index.php/File:House_Terrick.svg,"Per saltire purple and gold, four hawks' heads countercharged",,,,,
North,House Thenn,https://awoiaf.westeros.org/index.php/File:House_Thenn.svg,"A bronze disk on a field of white, surrounded by flames made with wisps of crimson",,,Sigorn Thenn,,
Crownlands,House Thorne,https://awoiaf.westeros.org/index.php/File:House_Thorne.svg,A silver flail on red within a black border rayonne,,,,,
Dorne,House Toland of Ghost Hill,https://awoiaf.westeros.org/index.php/File:House_Toland.svg,A green dragon biting its tail on gold,Ghost Hill,,,,
Vale of Arryn,House Tollett of the Grey Glen,https://awoiaf.westeros.org/index.php/File:House_Tollett.svg,Pily grey and black,Grey Glen,When All is Darkest,,,
Vale of Arryn (Sistermen),House Torrent of Littlesister,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Littlesister,,,,
North,House Towers (north),https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct before the Andal invasion,
Riverlands,House Towers of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Towers_(Harrenhal).svg,"Five black towers on white, a double tressure red and black",Harrenhal,,Walton Towers,extinct 61 AC,
Stormlands,House Toyne,https://awoiaf.westeros.org/index.php/File:House_Toyne.svg,"A winged heart, black on gold, within a black bordure embattled",,"Fly High, Fly Far",,extinct 296 AC,
Stormlands,House Trant of Gallowsgrey,https://awoiaf.westeros.org/index.php/File:House_Trant.svg,"A hanged man, black on blue",Gallowsgrey,So End Our Foes,,,
Stormlands,House Tudbury,https://awoiaf.westeros.org/index.php/File:House_Tudbury.svg,A brown tortoise within a yellow lozenge on green,,,,,
Riverlands,House Tully of Riverrun,https://awoiaf.westeros.org/index.php/File:House_Tully.svg,"a leaping trout, silver, against a rippling blue-and-red field",Riverrun,"Family, Duty, Honor",Edmure Tully,,
Westerlands,House Turnberry,https://awoiaf.westeros.org/index.php/File:House_Turnberry.svg,"9 strawberries on a white saltire, on green and red vairy in point",,,,,
Reach,House Tyrell of Brightwater Keep,https://awoiaf.westeros.org/index.php/File:House_Tyrell_(Garlan).svg,Two golden roses on green,Brightwater Keep,,Garlan Tyrell,,
Reach,House Tyrell of Highgarden,https://awoiaf.westeros.org/index.php/File:House_Tyrell.svg,A golden rose on green,Highgarden,Growing Strong,Ser Alester Tyrell,,
Reach,House Uffering,https://awoiaf.westeros.org/index.php/File:House_Uffering.svg,"Oak and iron paly, beneath a white chief with seven green hands",,,,,
Dorne,House Uller of the Hellholt,https://awoiaf.westeros.org/index.php/File:House_Uller.svg,Rayonne yellow over crimson,Hellholt,,,,
North,House Umber of the Last Hearth,https://awoiaf.westeros.org/index.php/File:House_Umber.svg,"A roaring giant, brown-haired and wearing a skin, with broken silver chains, on flame-red",Last Hearth,,,,
Vale of Arryn,House Upcliff of the Witch Isle,https://awoiaf.westeros.org/index.php/File:House_Upcliff.svg,"A cresting wave, sea green on black",Witch Isle,,,,
Dorne,House Vaith of the Red Dunes,https://awoiaf.westeros.org/index.php/File:House_Vaith.svg,Three black leopards standing on a yellow pile on orange,Vaith,,,,
Riverlands,House Vance of Atranta,https://awoiaf.westeros.org/index.php/File:House_Vance_(Atranta).svg,"Quartered: a green dragon on white, a white tower on black",Atranta,,Armistead Vance,,
Riverlands,House Vance of Wayfarer's Rest,https://awoiaf.westeros.org/index.php/File:House_Vance_(Wayfarer%27s_Rest).svg,"Quartered: a black dragon on white, two golden eyes in a golden ring on black",Wayfarer's Rest,,Armistead Vance,,
Reach,House Varner,https://awoiaf.westeros.org/index.php/File:House_Varner.svg,A white weasel on ermines,,,,,
Crownlands (Dragonstone),House Velaryon of Driftmark,https://awoiaf.westeros.org/index.php/File:House_Velaryon.svg,A silver seahorse on sea green,Driftmark (castle) & High Tide,"The Old, the True, the Brave",,,
Westerlands,House Vikary,https://awoiaf.westeros.org/index.php/File:House_Vikary.svg,"Quarterly: A red boar's head on white, beneath a gold bend sinister a silver lion rampant regardant with a forked tail, armed and langued gold, on red",,,,,
Iron Islands (Shield Islands),House Volmark of Volmark,https://awoiaf.westeros.org/index.php/File:House_Volmark.svg,A black leviathan on a grey sea,Volmark & Greenshield,,Grey King,,
Riverlands,House Vypren,https://awoiaf.westeros.org/index.php/File:House_Vypren.svg,"A black toad on white lily pad, on green",,,,,
Reach,House Vyrwel of Darkdell,https://awoiaf.westeros.org/index.php/File:House_Vyrwel.svg,A silver wyvern within a red double tressure on sable,Darkdell,,,,
Dorne,House Wade,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Stormlands,House Wagstaff,https://awoiaf.westeros.org/index.php/File:House_Wagstaff.svg,Five yellow mascles on green,,,,,
Unknown,House Warrick,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North,House Waterman,https://awoiaf.westeros.org/index.php/File:House_Waterman.svg,"Brown crossed oars on white, between a pair of blue flaunches",,,,,
Vale of Arryn,House Waxley of Wickenden,https://awoiaf.westeros.org/index.php/File:House_Waxley.svg,"Six candles, white with red flames, within silver candle holders on a grey field bordered in black",Wickenden,Light in Darkness,,,
Riverlands,House Wayn,https://awoiaf.westeros.org/index.php/File:House_Wayn.svg,Four wheels countercharged on quartered field blue and white,,,,,
Vale of Arryn,House Waynwood of Ironoaks,https://awoiaf.westeros.org/index.php/File:House_Waynwood.svg,A black broken wheel on green,Ironoaks,,,,
Unknown,House Weatherwax,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Iron Islands,House Weaver,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Webber of Coldmoat,https://awoiaf.westeros.org/index.php/File:House_Webber.svg,A white and red spider upon a silver web over black,Coldmoat,,,,
Dorne,House Wells (Dorne),https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,,
North,House Wells (north),https://awoiaf.westeros.org/index.php/File:House_Wells_(North).svg,Per fess: five black roundels on grey over green and white lozengy,,,,,
Crownlands,House Wendwater,https://awoiaf.westeros.org/index.php/File:House_Wendwater.svg,"A green engrailed pall, inverted on white, dividing three trees, green, red and bare",,For All Seasons,,,
Stormlands,House Wensington,https://awoiaf.westeros.org/index.php/File:House_Wensington.svg,"Two golden trumpets crossed on blue, a gold chief with three black stags",,Sound the Charge,,,
Reach,House Westbrook,https://awoiaf.westeros.org/index.php/File:House_Westbrook.svg,Two green bars gemmel on gold,,,,,
Westerlands,House Westerling of the Crag,https://awoiaf.westeros.org/index.php/File:House_Westerling.svg,Six white seashells on sand,Crag,"Honor, not Honors",,,
Unknown,House Whitfield,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Whent of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Whent.svg,"Nine black bats, 4-3-2, on yellow",Harrenhal,,,,
Stormlands,House Whitehead of the Weeping Town,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Weeping Town,,,,
North,House Whitehill of Highpoint,https://awoiaf.westeros.org/index.php/File:House_Whitehill.svg,"A white pile inverted on indigo, an arch of 4-pointed stars above",Highpoint,,,,
Reach,House Willum,https://awoiaf.westeros.org/index.php/File:House_Willum.svg,3 silver longswords crossed on black beneath a dragonbone skeleton on a white chief,,,,,
Riverlands,House Wode,https://awoiaf.westeros.org/index.php/File:House_Wode.svg,Three white hedgehogs on yellow,,Touch Me Not,,,
North,House Woodfoot of Bear Island,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Bear Island,,,extinct during ironborn conquest of Bear Island,
Vale of Arryn,House Woodhull,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North (Wolfswood Clans),House Woods,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Woodwright,https://awoiaf.westeros.org/index.php/File:House_Woodwright.svg,A red pall on a field of oak,,,,,
North,House Woolfield,https://awoiaf.westeros.org/index.php/File:House_Woolfield.svg,"Three woolsacks, white on purple, a white border",,,,,
North (Mountain Clans),House Wull,https://awoiaf.westeros.org/index.php/File:House_Wull.svg,"Three wooden buckets, brown on blue, with a border of grey and white checks",,,,,
Vale of Arryn,House Wydman,https://awoiaf.westeros.org/index.php/File:House_Wydman.svg,"5 splintered lances, 3-2, striped blue and white with blue pennons, on yellow, beneath a white chief bearing a red castle, a green viper, a black broken wheel, a purple unicorn and a golden lion",,Right Conquers Might,A tourney champion,,
Dorne,House Wyl of the Boneway,https://awoiaf.westeros.org/index.php/File:WylCoA.png,A black adder biting a heel on yellow,Wyl (castle),,,,
Stormlands,House Wylde of Rain House,https://awoiaf.westeros.org/index.php/File:House_Wylde.svg,A blue-green maelstrom on gold,Rain House,,,,
Iron Islands,House Wynch of Iron Holt,https://awoiaf.westeros.org/index.php/File:House_Wynch.svg,bloody moon on purple,Iron Holt,,Grey King,,
Reach,House Wythers,https://awoiaf.westeros.org/index.php/File:House_Wythers.svg,A grey squirrel on white with red border,,,,,
Westerlands,House Yarwyck,https://awoiaf.westeros.org/index.php/File:House_Yarwyck.svg,"2 bronze halberds crossed between 4 red diamonds, on white",,,,,
Reach,House Yelshire,https://awoiaf.westeros.org/index.php/File:House_Yelshire.svg,"Barry green and gold, a black battering ram with a gold head on a black chief",,,,,
Westerlands,House Yew,https://awoiaf.westeros.org/index.php/File:House_Yew.svg,A golden longbow on white between two crimson flaunches,,,Alan o' the Oak,,
Dorne,House Yronwood of Yronwood,https://awoiaf.westeros.org/index.php/File:House_Yronwood.svg,A black portcullis grill over sand,Yronwood,We Guard the Way,High King of Dorne,,
